lat,lon,wheelchair
55.7788343,37.6537207,1
55.7235596,37.3968256,1
55.7268977,37.4495857,0
55.7159368,37.3752603,0
55.8141588,37.7355795,0
55.815378,37.7329441,0
55.8150394,37.7320958,0
55.7892352,37.6795056,0
55.7649901,37.6382369,0
55.7086656,37.6573149,0
55.7313035,37.6126325,0
55.8218994,37.6088672,1
55.829403,37.7665919,0
55.7292516,37.6113988,1
55.7935742,37.7997464,0
55.7935648,37.7990934,0
55.7274394,37.5806574,1
55.7576777,37.6627881,0
55.7407717,37.6256345,1
55.788503,37.7509929,0
55.7742335,37.6599154,0
55.7045582,37.4815283,1
55.8643837,37.6045664,0
55.7723457,37.6787584,0
55.6544634,37.6478814,1
55.7957218,37.7990027,0
55.7957378,37.7996675,0
55.743633,37.4973018,0
55.74383,37.4981968,0
55.7772603,37.5821752,0
55.7479232,37.5837965,0
55.7395085,37.4833717,1
55.7437316,37.497737,1
55.7461266,37.5148273,1
55.7399906,37.5343862,0
55.7388299,37.5484101,1
55.739403,37.4829282,0
55.7567029,37.6195553,0
55.740222,37.417957,0
55.7407572,37.4169385,0
55.7359875,37.4671358,1
55.730801,37.4464724,0
55.8037042,37.8389923,1
55.8040473,37.8401974,1
55.8184336,37.4990087,0
55.8181342,37.4979987,0
55.9101719,37.4007187,1
55.705584,37.633305,0
55.7600228,37.6617905,1
55.6894185,37.676835,0
55.6645226,37.4831977,0
55.664567,37.4843827,0
55.6642996,37.4842313,0
55.6629657,37.4822171,0
55.662756,37.4832634,0
55.6625316,37.4831454,0
55.6627382,37.4821227,0
55.8039222,37.4005105,1
55.8091019,37.4627667,0
55.8046582,37.4009901,1
55.75054,37.6092012,0
55.7323558,37.6654402,0
55.7315064,37.6641763,0
55.8000414,37.5344075,0
55.8004567,37.5305132,0
55.8055549,37.5150538,0
55.8044604,37.5145372,0
55.7616225,37.6242665,0
55.7529594,37.6331805,0
55.731857,37.6658787,0
55.7088138,37.7315039,0
55.7054021,37.6628907,1
55.7642853,37.6057572,0
55.7618096,37.6101609,1
55.7453047,37.5158011,1
55.757123,37.532969,0
55.7524027,37.6086825,0
55.73632,37.5176092,0
55.7366578,37.5173909,1
55.7436835,37.5656452,0
55.7287845,37.6633753,0
55.7093206,37.6610213,1
55.7295963,37.4707878,1
55.751362,37.818264,0
55.6595234,37.7523825,0
55.7656137,37.6388948,0
55.7483053,37.5342309,0
55.9317192,37.5165546,1
55.6188619,37.5082183,0
55.657091,37.5405263,0
55.6249414,37.4838377,0
55.7963698,37.7153466,0
55.7524079,37.6033909,0
55.7522967,37.6088923,0
55.7521438,37.6016704,0
55.8003966,37.5331501,0
55.7897397,37.558208,0
55.8114853,37.8373363,1
55.7888168,37.6802525,0
55.780356,37.6676557,0
55.7658711,37.639028,0
55.7590789,37.625693,0
55.6066198,37.5313087,0
55.8197113,37.6413799,1
55.7268796,37.6248286,0
55.7078752,37.6224862,1
55.7095458,37.6225787,0
55.7508202,37.6583094,1
55.7368358,37.6186837,0
55.7296028,37.6398045,0
55.7317886,37.6380937,0
55.7525349,37.7200631,0
55.6616,37.6040111,0
55.6634546,37.6060781,0
55.6618283,37.6048618,0
55.7937015,37.6364976,0
55.7304961,37.6109093,0
55.7199872,37.6076956,0
55.7268793,37.57833,0
55.7076167,37.5862116,0
55.6787335,37.5641395,0
55.6869778,37.5730465,1
55.6888114,37.5741428,1
55.6886188,37.5748444,0
55.65555,37.5383871,1
55.6437021,37.527401,0
55.6438814,37.5267878,0
55.6427774,37.5256804,0
55.808383,37.7988455,1
55.8083798,37.7984217,1
55.8002005,37.7128505,0
55.7297787,37.6093994,1
55.7488081,37.5827207,1
55.7701709,37.5950872,0
55.6014785,37.5529776,1
55.7304982,37.6378407,0
55.7323172,37.6381483,0
55.7301484,37.6393202,1
55.7648953,37.606313,0
55.654956,37.6221979,0
55.653191,37.6207498,0
55.6537291,37.6222533,1
55.7796332,37.6317532,0
55.7290636,37.6228531,0
55.6369835,37.6560729,0
55.6346019,37.6571539,0
55.6399354,37.6080332,1
55.6214515,37.6076262,0
55.6209233,37.6089554,0
55.6114395,37.6024907,0
55.6114866,37.6044225,0
55.6105759,37.603844,0
55.6109543,37.6023626,0
55.6600207,37.7517507,0
55.7075865,37.6846176,0
55.6934907,37.726952,0
55.7086649,37.6228172,0
55.6829727,37.6224144,0
55.6719433,37.6102741,0
55.6626511,37.6056223,1
55.6526736,37.598434,0
55.7809613,37.601981,0
55.8606544,37.4365264,0
55.8265293,37.4369761,0
55.7737161,37.5466565,0
55.7412697,37.415772,0
55.8471808,37.5899119,0
55.6731428,37.7504552,1
55.6108878,37.7210442,0
55.6192489,37.7371436,1
55.613694,37.7444351,0
55.6136425,37.7467531,0
55.5717343,37.6710391,1
55.572279,37.670939,1
55.656796,37.7605908,1
55.6582914,37.7588558,1
55.6487311,37.7640059,0
55.6108547,37.7187413,0
55.7163931,37.4584862,1
55.7253942,37.4619343,1
55.7263987,37.4679886,1
55.7162911,37.4588661,0
55.6060141,37.7179519,1
55.6121519,37.6959965,0
55.6727812,37.6109036,0
55.6822225,37.621286,0
55.7447266,37.565506,0
55.8504805,37.4397738,0
55.6537689,37.620673,1
55.7307113,37.4454912,0
55.5927752,37.6539345,1
55.7259229,37.6934157,0
55.7507674,37.6184371,1
55.8624595,37.6033859,1
55.7556808,37.4088804,0
55.6529025,37.5984294,1
55.7925798,37.6406432,0
55.9254458,37.8164449,0
55.5683404,37.5877773,1
55.6931524,37.5344901,0
55.6935319,37.5344901,0
55.6934762,37.5347277,0
55.887022,37.4688799,0
55.6137711,37.6934421,1
55.6114771,37.7203553,1
55.7517728,37.7885173,0
55.6955797,37.7348644,1
55.7111436,37.6198335,0
55.6837575,37.7452617,1
55.6544803,37.5229727,0
55.6102182,37.7294002,0
55.6772263,37.5060642,0
55.7525973,37.6108553,0
55.8031134,37.4042739,0
55.7661175,37.6839614,1
55.7352377,37.8293831,1
55.734715,37.8291028,1
55.7262872,37.8288242,1
55.7256706,37.828036,1
55.7232731,37.8264314,1
55.7230889,37.8256286,1
55.7318208,37.8294235,1
55.7327391,37.8300433,1
55.7293559,37.617096,1
55.6420491,37.5427985,1
55.8010165,37.5321485,0
55.7541455,37.7154001,0
55.754013,37.7152726,0
55.7512314,37.7165139,0
55.7508763,37.7174604,0
55.7511235,37.7179144,0
55.7515565,37.7163285,0
55.7516578,37.7162593,0
55.7519883,37.716772,0
55.7543983,37.7153931,0
55.7806261,37.6194895,0
55.7293074,37.4729589,1
55.7302153,37.4731742,1
55.7733892,37.5444793,0
55.6424926,37.361208,0
55.8851057,37.6023619,0
55.8642691,37.6039626,1
55.8631674,37.6075322,0
55.7653354,37.6054856,1
55.6820208,37.58844,0
55.6703642,37.4772739,1
55.6763604,37.5053171,0
55.6761433,37.5056718,0
55.7437276,37.5819096,1
55.6916654,37.6030506,1
55.6905366,37.6070201,0
55.6110343,37.7243807,0
55.7106724,37.6209917,1
55.7142423,37.6201613,0
55.7100678,37.6201529,1
55.681676,37.5662643,1
55.7123367,37.6070971,0
55.6866726,37.5729914,1
55.686906,37.5732415,1
55.7096767,37.6209214,0
55.7087286,37.6208527,1
55.6921532,37.5628029,1
55.7181815,37.6083954,1
55.7175439,37.6081274,1
55.7789026,37.601686,0
55.8622332,37.6041227,0
55.8642165,37.6060705,0
55.745199,37.6893076,0
55.7033313,37.5709582,0
55.701189,37.527634,1
55.6982743,37.5389603,0
55.7666479,37.5588095,1
55.7672491,37.5581117,1
55.6686932,37.5914197,0
55.7415156,37.5376119,0
55.7729723,37.6769561,1
55.7430995,37.5041916,1
55.7410021,37.6250569,0
55.7383633,37.6280408,0
55.8226407,37.4960202,1
55.7625389,37.6089133,1
55.8448381,37.5882158,1
55.7835247,37.7219176,1
55.7061931,37.7655091,0
55.6408932,37.3560899,1
55.6398414,37.3542822,1
55.7348034,37.4743403,0
55.7614818,37.7126008,1
55.7305737,37.4456438,1
55.7306895,37.4465201,1
55.7413227,37.6287265,0
55.7409715,37.6254376,0
55.6454812,37.5213375,1
55.7285326,37.622765,0
55.7655468,37.6479555,1
55.778521,37.6169873,1
55.7731193,37.6269065,0
55.7147872,37.7425991,1
55.7157838,37.7419543,1
55.7144417,37.7367675,1
55.7784041,37.6567616,1
55.7268264,37.625861,0
55.6537687,37.6205746,1
55.6534141,37.6209725,1
55.6533549,37.620973,1
55.6109357,37.6970341,1
55.6126189,37.6967955,1
55.752572,37.81926,0
55.7399401,37.5306798,0
55.7444986,37.5616145,1
55.6622781,37.5335694,0
55.6612733,37.5309937,0
55.6540902,37.5210405,0
55.6027141,37.5426295,1
55.6229915,37.6015325,1
55.6146883,37.6045261,0
55.6276342,37.6105615,1
55.6276665,37.6107607,0
55.6469546,37.6048654,1
55.6697775,37.5204207,0
55.6612556,37.5277607,0
55.6626838,37.5301337,0
55.7286399,37.4730584,0
55.6435219,37.4895255,0
55.6622311,37.5334259,0
55.8237935,37.6053982,1
55.7987139,37.3968518,1
55.6095497,37.6049161,0
55.757364,37.6316441,0
55.7610428,37.6881367,0
55.7529597,37.7237789,0
55.6827995,37.5713634,0
55.6848808,37.5832952,0
55.6100504,37.7202365,1
55.6088201,37.7196963,1
55.8481308,37.3553958,1
55.8479433,37.3553434,1
55.8487647,37.3521745,0
55.8491342,37.3542721,1
55.7232689,37.8021297,1
55.6889402,37.529287,1
55.6921836,37.5282825,1
55.6920292,37.5279942,1
55.686831,37.6036132,1
55.6896734,37.603065,1
55.6904837,37.6015243,1
55.6891995,37.6010857,1
55.6918795,37.6034263,0
55.6921411,37.6041096,0
55.6928926,37.6074485,0
55.7586344,37.6582541,1
55.868802,37.6633964,1
55.8675141,37.6565236,0
55.756814,37.7431338,0
55.7521462,37.7184562,0
55.6581849,37.8389515,0
55.6400302,37.3511248,1
55.8561688,37.653867,0
55.6398863,37.3667545,1
55.707632,37.5774981,1
55.7671933,37.6003938,1
55.6123197,37.7253762,1
55.6123222,37.7265928,1
55.8504894,37.4513784,0
55.8497258,37.443932,1
55.6167978,37.5014107,0
55.6163984,37.5020189,0
55.6179839,37.507432,0
55.6177249,37.5072167,1
55.6376871,37.3766947,1
55.6547367,37.3932255,1
55.654908,37.3944291,1
55.6575333,37.3979516,1
55.6575934,37.4000985,1
55.6589235,37.4037567,1
55.6599997,37.4118678,1
55.660714,37.4175929,1
55.6603147,37.4173039,1
55.6609669,37.4263422,1
55.6612488,37.4253197,0
